brand,cleaned_model,productionyear,count,rounded Count,%,Status,Error,L.B,U.B
Acura,,,20,20,0.00%,Extremely Rare,5,15,25
Alfa Romeo,,,2716,2715,0.16%,Scarce,25,2690,2740
AMC,,,436,435,0.03%,Very Rare,25,410,460
Aprillia,,,40,40,0.00%,Extremely Rare,5,35,45
Aston Martin,,,5,5,0.00%,Nearly Unique,5,0,10
Auburn,,,1,0,0.00%,Unique,5,0,5
Audi,,,11046,11045,0.65%,Uncommon,100,10945,11145
Austin,,,2488,2485,0.15%,Scarce,25,2460,2510
Bajaj,,,42,40,0.00%,Extremely Rare,5,35,45
Bentley,,,43,40,0.00%,Extremely Rare,5,35,45
Bertone,,,12,10,0.00%,Nearly Unique,5,5,15
BMW,,,148616,148615,8.82%,Common,1000,147615,149615
Bristol,,,1,0,0.00%,Unique,5,0,5
Buick,,,14621,14620,0.88%,Uncommon,100,14520,14720
Cadillac,,,4427,4425,0.26%,Scarce,25,4400,4450
Chevrolet,,,25039,25035,1.47%,Uncommon,250,24785,25285
Chrysler,,,2737,2735,0.16%,Scarce,25,2710,2760
Citroen,,,4538,4535,0.26%,Scarce,25,4510,4560
Dacia,,,234,230,0.01%,Very Rare,25,205,255
Daewoo,,,12365,12365,0.71%,Uncommon,100,12265,12465
DAF,,,64,60,0.00%,Extremely Rare,5,55,65
Daihatsu,,,4277,4275,0.25%,Scarce,25,4250,4300
Daimler,,,33,30,0.00%,Extremely Rare,5,25,35
Datsun,,,27404,27400,1.59%,Uncommon,250,27150,27650
De Tomaso,,,8,5,0.00%,Nearly Unique,5,0,10
Desoto,,,279,275,0.02%,Very Rare,25,250,300
Dodge,,,9277,9275,0.55%,Scarce,100,9175,9375
Ducati,,,10,10,0.00%,Nearly Unique,5,5,15
Edsel,,,1,0,0.00%,Unique,5,0,5
Excalibur,,,10,10,0.00%,Nearly Unique,5,5,15
Ferrari,,,97,95,0.01%,Extremely Rare,5,90,100
Fiat,,,37340,37340,2.17%,Uncommon,250,37090,37590
Ford,,,9617,9615,0.56%,Scarce,100,9515,9715
Geely,,,19,15,0.00%,Nearly Unique,5,10,20
GMC,,,5469,5465,0.32%,Scarce,100,5365,5565
Harley Davidson,,,407,405,0.02%,Very Rare,25,380,430
Hillman,,,231,230,0.01%,Very Rare,25,205,255
Honda,,,144616,144615,8.23%,Common,1000,143615,145615
Hummer,,,11,10,0.00%,Nearly Unique,5,5,15
Hyundai,,,20350,20350,1.18%,Uncommon,100,20250,20450
Infiniti,,,1909,1905,0.11%,Very Scarce,25,1880,1930
Innocenti,,,16,15,0.00%,Nearly Unique,5,10,20
Iveco,,,530,530,0.03%,Rare,25,505,555
Jaguar,,,2706,2705,0.16%,Scarce,25,2680,2730
Jeep,,,14939,14935,0.88%,Uncommon,100,14835,15035
Jensen,,,11,10,0.00%,Nearly Unique,5,5,15
Kawaski,,,445,445,0.03%,Very Rare,25,420,470
Kia,,,6578,6575,0.39%,Scarce,100,6475,6675
KTM,,,3,0,0.00%,Nearly Unique,5,0,5
Kymco,,,17,15,0.00%,Nearly Unique,5,10,20
Lada,,,2194,2190,0.13%,Very Scarce,25,2165,2215
Lamborghini,,,18,15,0.00%,Nearly Unique,5,10,20
Lancia,,,1177,1175,0.07%,Very Scarce,25,1150,1200
Land Rover,,,3376,3375,0.20%,Scarce,25,3350,3400
Lexus,,,702,700,0.04%,Rare,25,675,725
Lincoln,,,674,670,0.04%,Rare,25,645,695
Lotus,,,18,15,0.00%,Nearly Unique,5,10,20
Maserati,,,60,60,0.00%,Extremely Rare,5,55,65
Mazda,,,24189,24185,1.41%,Uncommon,100,24085,24285
Mercedes,,,336258,336255,19.99%,Common,1000,335255,337255
Mercury,,,991,990,0.06%,Rare,25,965,1015
MG,,,492,490,0.03%,Very Rare,25,465,515
Mini,,,7,5,0.00%,Nearly Unique,5,0,10
Mitsubishi,,,26055,26055,1.53%,Uncommon,250,25805,26305
Morgan,,,4,0,0.00%,Nearly Unique,5,0,5
Morris,,,2229,2225,0.13%,Very Scarce,25,2200,2250
Moto Guzzi,,,35,35,0.00%,Extremely Rare,5,30,40
Nash,,,22,20,0.00%,Extremely Rare,5,15,25
Nissan,,,76355,76355,4.47%,Common,250,76105,76605
Oldsmobile,,,8338,8335,0.49%,Scarce,100,8235,8435
Opel,,,45902,45900,2.70%,Common,250,45650,46150
Packard,,,2,0,0.00%,Nearly Unique,5,0,5
Peugeot,,,61839,61835,3.64%,Common,250,61585,62085
PGO,,,1,0,0.00%,Unique,5,0,5
Piaggio,,,276,275,0.02%,Very Rare,25,250,300
Plymouth,,,2402,2400,0.14%,Very Scarce,25,2375,2425
Polaris,,,39,35,0.00%,Extremely Rare,5,30,40
Pontiac,,,8566,8565,0.51%,Scarce,100,8465,8665
Porsche,,,960,960,0.06%,Rare,25,935,985
Range Rover,,,11712,11710,0.71%,Uncommon,100,11610,11810
Renault,,,126290,126290,7.64%,Common,1000,125290,127290
Riley,,,25,25,0.00%,Extremely Rare,5,20,30
Rolls Royce,,,215,215,0.01%,Very Rare,25,190,240
Rover,,,640,640,0.04%,Rare,25,615,665
Saab,,,1185,1185,0.07%,Very Scarce,25,1160,1210
Saturn,,,12,10,0.00%,Nearly Unique,5,5,15
Scania,,,915,915,0.05%,Rare,25,890,940
Seat,,,2615,2615,0.15%,Scarce,25,2590,2640
Simca,,,3345,3345,0.19%,Scarce,25,3320,3370
Skoda,,,730,730,0.04%,Rare,25,705,755
Smart,,,34,30,0.00%,Extremely Rare,5,25,35
Ssangyong,,,1635,1635,0.09%,Very Scarce,25,1610,1660
Standard,,,1,0,0.00%,Unique,5,0,5
Studebaker,,,14,10,0.00%,Nearly Unique,5,5,15
Stutz,,,1,0,0.00%,Unique,5,0,5
Subaru,,,6320,6320,0.37%,Scarce,100,6220,6420
Sunbeam,,,128,125,0.01%,Extremely Rare,25,100,150
Suzuki,,,62708,62705,3.70%,Common,250,62455,62955
Talbot,,,231,230,0.01%,Very Rare,25,205,255
Toyota,,,135732,135730,8.23%,Common,1000,134730,136730
