brand,cleaned_model,productionyear,count,rounded Count,%,Status,Error,L.B,U.B
Acura,CL,,3,0,0.00%,Nearly Unique,5,0,5
Acura,Integra,,4,0,0.00%,Nearly Unique,5,0,5
Acura,Legend,,5,5,0.00%,Nearly Unique,5,0,10
Acura,RLX,,2,0,0.00%,Nearly Unique,5,0,5
Acura,RSX,,1,0,0.00%,Unique,5,0,5
Acura,TL,,1,0,0.00%,Unique,5,0,5
Acura,Vigor,,3,0,0.00%,Nearly Unique,5,0,5
Alfa Romeo,33,,105,105,0.01%,Very Rare,25,80,130
Alfa Romeo,75,,22,20,0.00%,Extremely Rare,5,15,25
Alfa Romeo,90,,7,5,0.00%,Nearly Unique,5,0,10
Alfa Romeo,100,,4,0,0.00%,Nearly Unique,5,0,5
Alfa Romeo,145,,14,10,0.00%,Nearly Unique,5,5,15
Alfa Romeo,146,,204,200,0.01%,Very Rare,25,175,225
Alfa Romeo,155,,72,70,0.00%,Very Rare,5,65,75
Alfa Romeo,156,,464,460,0.03%,Rare,25,435,485
Alfa Romeo,164,,52,50,0.00%,Very Rare,5,45,55
Alfa Romeo,166,,19,15,0.00%,Nearly Unique,5,10,20
Alfa Romeo,2300,,1,0,0.00%,Unique,5,0,5
Alfa Romeo,2500,,3,0,0.00%,Nearly Unique,5,0,5
Alfa Romeo,1.7 Sprint,,4,0,0.00%,Nearly Unique,5,0,5
Alfa Romeo,1.8 Sportwagon,,6,5,0.00%,Nearly Unique,5,0,10
Alfa Romeo,119 Sport,,1,0,0.00%,Unique,5,0,5
Alfa Romeo,1300 GTA Junior,,26,25,0.00%,Extremely Rare,5,20,30
Alfa Romeo,1600 Spider Duetto,,52,50,0.00%,Very Rare,5,45,55
Alfa Romeo,1750 Berlina,,162,160,0.01%,Very Rare,25,135,185
Alfa Romeo,1800 Berlina,,3,0,0.00%,Nearly Unique,5,0,5
Alfa Romeo,2.5 V6,,6,5,0.00%,Nearly Unique,5,0,10
Alfa Romeo,2000 GTV,,177,175,0.01%,Very Rare,25,150,200
Alfa Romeo,24 HP,,1,0,0.00%,Unique,5,0,5
Alfa Romeo,33 Quadrifoglio,,2,0,0.00%,Nearly Unique,5,0,5
Alfa Romeo,6C 2500,,1,0,0.00%,Unique,5,0,5
Alfa Romeo,Alfasud,,172,170,0.01%,Very Rare,25,145,195
Alfa Romeo,Alfetta,,187,185,0.01%,Very Rare,25,160,210
Alfa Romeo,Berline,,87,85,0.01%,Very Rare,5,80,90
Alfa Romeo,Giulia GT Junior,,2,0,0.00%,Nearly Unique,5,0,5
Alfa Romeo,Giulia Sprint GT Junior,,2,0,0.00%,Nearly Unique,5,0,5
Alfa Romeo,Giulia Super,,1,0,0.00%,Unique,5,0,5
Alfa Romeo,Giulietta,,205,205,0.01%,Very Rare,25,180,230
Alfa Romeo,Giulietta Nuova,,1,0,0.00%,Unique,5,0,5
Alfa Romeo,Milano,,9,5,0.00%,Nearly Unique,5,0,10
Alfa Romeo,Montreal,,6,5,0.00%,Nearly Unique,5,0,10
Alfa Romeo,Spider,,122,120,0.01%,Very Rare,25,95,145
Alfa Romeo,Sprint,,46,45,0.00%,Very Rare,5,40,50
Alfa Romeo,Twin Spark,,1,0,0.00%,Unique,5,0,5
Alfa Romeo,,,229,225,0.01%,Very Rare,25,200,250
AMC,Ambassador,,92,90,0.01%,Very Rare,5,85,95
AMC,AMX,,11,10,0.00%,Nearly Unique,5,5,15
AMC,Classic,,87,85,0.01%,Very Rare,5,80,90
