brand,cleaned_model,productionyear,count,rounded Count,%,Status,Error,L.B,U.B
,,1903,1,0,0.00%,Unique,5,0,5
,,1910,1,0,0.00%,Unique,5,0,5
,,1919,1,0,0.00%,Unique,5,0,5
,,1920,1,0,0.00%,Unique,5,0,5
,,1921,1,0,0.00%,Unique,5,0,5
,,1922,2,0,0.00%,Nearly Unique,5,0,5
,,1924,1,0,0.00%,Unique,5,0,5
,,1926,4,0,0.00%,Nearly Unique,5,0,5
,,1927,3,0,0.00%,Nearly Unique,5,0,5
,,1928,8,5,0.00%,Nearly Unique,5,0,10
,,1929,9,5,0.00%,Nearly Unique,5,0,10
,,1930,6,5,0.00%,Nearly Unique,5,0,10
,,1931,6,5,0.00%,Nearly Unique,5,0,10
,,1932,1,0,0.00%,Unique,5,0,5
,,1933,1,0,0.00%,Unique,5,0,5
,,1934,6,5,0.00%,Nearly Unique,5,0,10
,,1935,3,0,0.00%,Nearly Unique,5,0,5
,,1936,9,5,0.00%,Nearly Unique,5,0,10
,,1937,3,0,0.00%,Nearly Unique,5,0,5
,,1938,11,10,0.00%,Nearly Unique,5,5,15
,,1939,11,10,0.00%,Nearly Unique,5,5,15
,,1940,8,5,0.00%,Nearly Unique,5,0,10
,,1941,9,5,0.00%,Nearly Unique,5,0,10
,,1942,176,175,0.01%,Very Rare,25,150,200
,,1943,4,0,0.00%,Nearly Unique,5,0,5
,,1944,6,5,0.00%,Nearly Unique,5,0,10
,,1945,11,10,0.00%,Nearly Unique,5,5,15
,,1946,55,55,0.00%,Extremely Rare,5,50,60
,,1947,45,45,0.00%,Extremely Rare,5,40,50
,,1948,58,55,0.00%,Extremely Rare,5,50,60
,,1949,75,75,0.00%,Extremely Rare,5,70,80
,,1950,90,90,0.01%,Extremely Rare,5,85,95
,,1951,96,95,0.01%,Extremely Rare,5,90,100
,,1952,103,100,0.01%,Very Rare,25,75,125
,,1953,120,120,0.01%,Very Rare,25,95,145
,,1954,145,145,0.01%,Very Rare,25,120,170
,,1955,289,285,0.02%,Very Rare,25,260,310
,,1956,315,315,0.02%,Very Rare,25,290,340
,,1957,398,395,0.03%,Very Rare,25,370,420
,,1958,478,475,0.03%,Very Rare,25,450,500
,,1959,394,390,0.03%,Very Rare,25,365,415
,,1960,901,900,0.06%,Very Rare,25,875,925
,,1961,1007,1000,0.07%,Rare,25,975,1025
,,1962,1032,1030,0.07%,Rare,25,1005,1055
,,1963,1545,1540,0.10%,Rare,25,1515,1565
,,1964,2152,2150,0.14%,Rare,25,2125,2175
,,1965,2398,2390,0.16%,Rare,25,2365,2415
,,1966,2051,2050,0.14%,Rare,25,2025,2075
,,1967,1976,1970,0.13%,Rare,25,1945,1995
,,1968,2070,2070,0.14%,Rare,25,2045,2095
,,1969,3597,3590,0.24%,Very Scarce,25,3565,3615
,,1970,4957,4950,0.33%,Very Scarce,25,4925,4975
,,1971,7135,7130,0.47%,Scarce,100,7030,7230
,,1972,11627,11620,0.79%,Scarce,100,11520,11720
,,1973,16184,16180,1.05%,Scarce,100,16080,16280
,,1974,26594,26590,1.78%,Uncommon,250,26340,26840
,,1975,35006,35000,2.30%,Uncommon,250,34750,35250
,,1976,41885,41880,2.77%,Uncommon,250,41630,42130
,,1977,47957,47950,3.16%,Uncommon,250,47700,48200
,,1978,53835,53830,3.56%,Common,250,53580,54080
,,1979,74057,74050,4.87%,Common,250,73800,74300
,,1980,74204,74200,4.87%,Common,250,73950,74450
,,1981,59620,59620,3.95%,Common,250,59370,59870
,,1982,52189,52180,3.42%,Common,250,51930,52430
,,1983,47932,47930,3.16%,Uncommon,250,47680,48180
,,1984,30046,30040,1.98%,Uncommon,250,29790,30290
,,1985,32322,32320,2.11%,Uncommon,250,32070,32570
,,1986,53187,53180,3.49%,Common,250,52930,53430
,,1987,61815,61810,4.08%,Common,250,61560,62060
,,1988,61079,61070,4.02%,Common,250,60820,61320
,,1989,52337,52330,3.42%,Common,250,52080,52580
,,1990,52577,52570,3.49%,Common,250,52320,52820
,,1991,46651,46650,3.09%,Uncommon,250,46400,46900
,,1992,51286,51280,3.36%,Common,250,51030,51530
,,1993,48773,48770,3.23%,Uncommon,250,48520,49020
,,1994,54510,54510,3.62%,Common,250,54260,54760
,,1995,68432,68430,4.48%,Common,250,68180,68680
,,1996,75063,75060,4.94%,Common,250,74810,75310
,,1997,55240,55240,3.62%,Common,250,54990,55490
,,1998,74469,74460,4.87%,Common,250,74210,74710
,,1999,69345,69340,4.54%,Common,250,69090,69590
,,2000,57010,57010,3.75%,Common,250,56760,57260
